City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Makakilo City,US,2022-11-29 21:39:43,21.3469,-158.0858,85.75,57,0,8.05
68,Suez,EG,2022-11-29 21:39:43,29.9737,32.5263,61.36,52,0,2.46
69,Lima,PE,2022-11-29 21:36:05,-12.0432,-77.0282,70.05,68,100,8.05
70,Kupang,ID,2022-11-29 21:39:44,-10.1667,123.5833,73.98,100,40,1.14
71,Yellowknife,CA,2022-11-29 21:39:44,62.456,-114.3525,-19.68,76,40,6.91
72,Xuddur,SO,2022-11-29 21:39:44,4.1213,43.8894,72.82,72,15,13.2
73,Pocone,BR,2022-11-29 21:39:45,-16.2567,-56.6228,91.42,27,61,7.63
74,Bendigo,AU,2022-11-29 21:39:45,-36.7667,144.2833,57.63,66,10,3.0
75,Codrington,AU,2022-11-29 21:39:45,-38.2667,141.9667,58.05,73,79,5.01
76,Busselton,AU,2022-11-29 21:36:48,-33.65,115.3333,70.59,47,83,15.46
77,Malumfashi,NG,2022-11-29 21:39:46,11.7853,7.6218,66.63,30,45,9.4
78,Saint-Philippe,RE,2022-11-29 21:39:46,-21.3585,55.7679,72.99,77,94,2.51
79,Tasiilaq,GL,2022-11-29 21:39:46,65.6145,-37.6368,37.56,92,100,38.48
80,Kayerkan,RU,2022-11-29 21:39:47,69.3497,87.7602,-9.87,99,94,4.97
81,Kavaratti,IN,2022-11-29 21:39:47,10.5669,72.642,81.18,71,65,1.16
82,Moose Jaw,CA,2022-11-29 21:39:47,50.4001,-105.5344,12.47,79,100,24.16
83,Sisimiut,GL,2022-11-29 21:39:48,66.9395,-53.6735,18.3,89,90,13.91
84,Chokurdakh,RU,2022-11-29 21:39:48,70.6333,147.9167,-11.31,98,100,8.75
85,Staphorst,NL,2022-11-29 21:39:48,52.645,6.2111,45.19,93,100,6.85
86,Fuling,CN,2022-11-29 21:39:49,29.7022,107.3919,53.42,76,100,4.43
87,Coquimbo,CL,2022-11-29 21:39:49,-29.9533,-71.3436,64.13,77,75,9.22
88,Maneadero,MX,2022-11-29 21:39:49,31.7167,-116.5667,61.11,71,13,4.0
89,Ushuaia,AR,2022-11-29 21:39:50,-54.8,-68.3,47.86,66,75,20.71
90,Carutapera,BR,2022-11-29 21:39:50,-1.195,-46.02,77.85,83,100,5.19
91,Rosarito,MX,2022-11-29 21:39:50,32.3333,-117.0333,63.63,63,71,7.54
92,Khanpur,PK,2022-11-29 21:39:51,28.6453,70.6567,61.2,24,0,2.8
93,Esperance,AU,2022-11-29 21:39:51,-33.8667,121.9,64.15,64,23,13.96
94,Hobart,AU,2022-11-29 21:37:31,-42.8794,147.3294,61.27,61,20,14.97
95,Bayburt,TR,2022-11-29 21:40:52,40.2589,40.2278,39.42,63,100,3.13
96,Careiro Da Varzea,BR,2022-11-29 21:40:52,-3.2003,-59.8119,86.63,71,100,3.04
97,Naron,ES,2022-11-29 21:40:53,43.5167,-8.1528,56.25,85,99,7.9
98,Albany,US,2022-11-29 21:38:41,42.6001,-73.9662,37.17,68,96,3.09
99,Kaitangata,NZ,2022-11-29 21:40:53,-46.2817,169.8464,54.82,93,100,7.78
100,Bilma,NE,2022-11-29 21:40:54,18.6853,12.9164,64.13,38,51,6.6
101,Cherskiy,RU,2022-11-29 21:40:54,68.75,161.3,-9.76,95,100,8.66
102,Puerto Ayora,EC,2022-11-29 21:38:02,-0.7393,-90.3518,78.76,86,55,5.99
103,Qaanaaq,GL,2022-11-29 21:40:54,77.484,-69.3632,-16.62,81,15,5.61
104,Brae,GB,2022-11-29 21:40:55,60.3964,-1.353,46.2,84,38,8.99
105,Kosh-Agach,RU,2022-11-29 21:40:55,50.0,88.6667,-14.6,72,12,3.02
106,Jiuquan,CN,2022-11-29 21:40:55,39.7432,98.5174,6.62,70,100,3.27
107,Juneau,US,2022-11-29 21:40:37,58.3019,-134.4197,19.4,100,75,10.36
108,Fare,PF,2022-11-29 21:40:56,-16.7,-151.0167,79.2,76,10,11.25
109,Holoby,UA,2022-11-29 21:40:56,51.0865,25.0077,33.06,99,100,5.77
110,Luangwa,ZM,2022-11-29 21:40:56,-15.6167,30.4167,69.58,91,18,3.09
111,Airai,TL,2022-11-29 21:40:57,-8.9266,125.4092,61.11,89,93,1.23
112,Fengxian,CN,2022-11-29 21:40:57,34.7039,116.5872,22.12,29,94,6.91
113,Lewisburg,US,2022-11-29 21:40:58,35.4492,-86.7889,58.08,96,75,0.0
114,San Policarpo,PH,2022-11-29 21:40:58,12.1791,125.5072,81.81,76,20,13.76
115,Conceicao Do Araguaia,BR,2022-11-29 21:40:58,-8.2578,-49.2647,71.06,98,100,4.99
116,Nieuw Amsterdam,SR,2022-11-29 21:40:59,5.8833,-55.0833,82.42,74,40,6.91
117,Tiksi,RU,2022-11-29 21:40:59,71.6872,128.8694,-29.97,100,58,2.46
118,Araouane,ML,2022-11-29 21:41:00,18.9048,-3.5265,70.65,16,100,9.37
119,Lasa,IT,2022-11-29 21:41:00,46.6166,10.7002,40.08,94,94,3.78
120,Jamestown,US,2022-11-29 21:38:59,42.097,-79.2353,46.02,81,75,11.5
121,Barrow,US,2022-11-29 21:38:21,71.2906,-156.7887,1.42,71,0,17.27
122,Quatre Cocos,MU,2022-11-29 21:41:00,-20.2078,57.7625,73.51,77,48,9.6
123,Katangli,RU,2022-11-29 21:41:01,51.7102,143.2326,14.47,89,100,23.62
124,Nagai,JP,2022-11-29 21:41:01,38.1036,140.035,51.6,89,100,6.69
125,Tainan,TW,2022-11-29 21:41:02,22.9908,120.2133,78.87,83,75,8.05
126,Camacha,PT,2022-11-29 21:41:02,33.0833,-16.3333,62.02,59,75,6.91
127,Hasaki,JP,2022-11-29 21:41:02,35.7333,140.8333,61.29,78,94,9.55
128,Petropavlovsk-Kamchatskiy,RU,2022-11-29 21:41:03,53.0452,158.6483,16.39,93,100,8.95
129,Lata,PT,2022-11-29 21:41:03,40.1629,-8.3327,46.08,93,71,2.06
130,Verkhnyaya Inta,RU,2022-11-29 21:41:03,65.9811,60.3094,10.96,96,100,3.33
131,Luderitz,NA,2022-11-29 21:41:04,-26.6481,15.1594,61.83,86,21,7.31
132,Lithakia,GR,2022-11-29 21:41:04,37.7167,20.8333,52.97,88,99,14.7
133,Imeni Poliny Osipenko,RU,2022-11-29 21:41:05,52.4201,136.4853,-4.02,91,100,5.21
134,Nikolskoye,RU,2022-11-29 21:41:05,59.7035,30.7861,28.29,94,100,4.74
135,Tautira,PF,2022-11-29 21:41:05,-17.7333,-149.15,78.31,80,26,10.89
136,Pong,TH,2022-11-29 21:41:06,19.1493,100.2752,70.75,98,98,0.87
137,Cabo San Lucas,MX,2022-11-29 21:36:48,22.8909,-109.9124,82.62,61,0,4.61
138,Victoria,HK,2022-11-29 21:38:31,22.2855,114.1577,76.17,91,1,3.0
139,Butaritari,KI,2022-11-29 21:41:07,3.0707,172.7902,80.85,76,47,9.89
140,Hilo,US,2022-11-29 21:38:24,19.7297,-155.09,82.13,77,40,9.22
141,Bodden Town,KY,2022-11-29 21:42:07,19.2833,-81.25,87.01,70,40,12.66
142,Mount Holly,US,2022-11-29 21:42:07,35.2982,-81.0159,64.92,46,20,10.36
143,Bauta,CU,2022-11-29 21:42:08,22.9828,-82.5464,84.09,65,40,14.97
144,Umm Lajj,SA,2022-11-29 21:42:08,25.0213,37.2685,75.31,59,30,5.79
145,Carnarvon,AU,2022-11-29 21:42:08,-24.8667,113.6333,69.96,85,0,9.73
146,Moche,PE,2022-11-29 21:42:09,-8.1711,-79.0092,69.98,83,75,9.22
147,Aitape,PG,2022-11-29 21:42:09,-3.1374,142.3475,79.2,87,96,3.0
148,Kahului,US,2022-11-29 21:42:10,20.8947,-156.47,81.97,78,90,4.61
149,Sistranda,NO,2022-11-29 21:42:10,63.7256,8.834,40.96,68,100,8.16
150,Manokwari,ID,2022-11-29 21:42:10,-0.8667,134.0833,79.03,83,100,7.16
151,Saint Anthony,US,2022-11-29 21:42:11,45.0205,-93.218,24.4,90,100,18.41
