City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
92,Fortuna,US,40.5982,-124.1573,43.14,96,100,4.61
93,Moron,AR,-34.6534,-58.6198,69.98,81,100,15.14
94,Sorland,NO,67.667,12.6934,40.86,73,17,6.71
95,Qianan,CN,44.9932,124.0581,4.96,47,0,12.48
96,Aksarka,RU,66.5606,67.7975,-6.63,95,11,8.72
97,Muros,ES,42.7762,-9.0603,59.09,68,0,4.34
98,Saskylakh,RU,71.9167,114.0833,-26.95,100,100,4.72
99,Thinadhoo,MV,0.5333,72.9333,81.36,67,99,5.57
100,Blackfoot,US,43.1905,-112.345,40.78,88,100,3.13
101,Alugan,PH,12.2188,125.4808,80.71,85,100,14.52
102,Patitirion,GR,39.15,23.8667,53.38,78,96,16.4
103,Atuona,PF,-9.8,-139.0333,77.11,80,15,13.65
104,Kieta,PG,-6.2167,155.6333,78.08,87,100,3.04
105,Constantine,DZ,36.365,6.6147,58.41,51,0,2.3
106,Doha,QA,25.2867,51.5333,84.51,58,0,8.05
107,Souillac,MU,-20.5167,57.5167,80.98,65,75,8.05
108,Tuktoyaktuk,CA,69.4541,-133.0374,-6.3,100,99,4.27
109,Bengkulu,ID,-3.8004,102.2655,76.06,89,100,3.13
110,Chokurdakh,RU,70.6333,147.9167,0.45,98,100,4.03
111,Genhe,CN,50.7833,121.5167,-16.37,100,100,2.44
112,Tasiilaq,GL,65.6145,-37.6368,31.71,84,100,4.0
113,Mingguang,CN,32.7802,117.9638,34.63,47,100,4.36
114,Smithers,CA,54.7804,-127.1743,-7.28,84,0,0.0
115,Qaanaaq,GL,77.484,-69.3632,-25.69,83,10,6.87
116,Atbasar,KZ,51.8,68.3333,5.13,75,100,17.27
117,Castro,BR,-24.7911,-50.0119,75.31,65,11,8.39
118,Tiksi,RU,71.6872,128.8694,-12.69,97,100,13.09
119,Sangar,RU,63.9242,127.4739,-26.95,95,100,2.95
120,Imbituba,BR,-28.24,-48.6703,76.86,80,100,11.79
121,Airai,TL,-8.9266,125.4092,60.67,92,100,1.68
122,Portland,US,45.5234,-122.6762,39.15,92,75,11.01
123,Kuybyshevo,RU,47.8123,38.9073,32.63,36,56,19.75
124,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,14.59,100,75,2.24
125,Bandarbeyla,SO,9.4942,50.8122,79.52,80,45,20.38
126,Chama,CH,47.1821,8.4636,41.07,90,100,2.3
127,Thompson,CA,55.7435,-97.8558,-20.04,76,100,2.3
128,Cordoba,AR,-31.4135,-64.1811,81.43,62,75,4.61
129,Georgetown,MY,5.4112,100.3354,80.24,91,40,9.22
130,Saint-Philippe,RE,-21.3585,55.7679,80.19,77,53,5.12
131,Khasan,RU,42.4308,130.6434,15.51,55,5,17.22
132,Coihaique,CL,-45.5752,-72.0662,53.55,43,40,11.5
133,Samana,DO,19.2056,-69.3369,78.76,88,40,0.0
134,Parabel,RU,58.6978,81.4825,-9.53,91,55,7.25
135,Cidreira,BR,-30.1811,-50.2056,75.4,84,100,16.22
136,Saint George,US,37.1041,-113.5841,32.59,59,0,0.0
137,Rafsanjan,IR,30.4067,55.9939,60.12,30,0,9.19
138,Suleja,NG,9.1758,7.1808,94.19,19,1,4.65
139,Tahe,CN,52.3333,124.7333,-18.24,94,66,3.49
140,Chimbote,PE,-9.0853,-78.5783,69.31,76,13,4.92
141,Najran,SA,17.4924,44.1277,77.65,21,0,12.53
142,Abu Zabad,SD,12.35,29.25,92.86,14,100,18.25
143,Pisco,PE,-13.7,-76.2167,69.85,73,0,5.75
144,Solnechnyy,RU,50.7214,136.6319,-10.48,92,11,3.89
145,Hjelset,NO,62.7833,7.4833,38.98,93,40,6.91
146,Kirkland Lake,CA,48.1446,-80.0377,18.7,76,100,15.21
147,Anadyr,RU,64.75,177.4833,34.3,93,75,31.32
148,Sitka,US,57.0531,-135.33,30.09,80,100,6.91
149,Mountain Home,US,43.133,-115.6912,34.39,87,100,8.52
150,Sayyan,YE,15.1718,44.3244,63.39,19,0,10.71
151,Kungurtug,RU,50.5994,97.5228,-18.8,97,39,1.83
152,East London,ZA,-33.0153,27.9116,77.22,75,7,9.19
153,Fare,PF,-16.7,-151.0167,78.93,80,98,13.58
154,Butaritari,KI,3.0707,172.7902,79.57,82,21,12.3
155,Viedma,AR,-40.8135,-62.9967,70.36,29,0,7.05
156,Katsuura,JP,35.1333,140.3,52.63,85,100,12.48
157,Kodiak,US,57.79,-152.4072,39.74,60,41,29.04
158,Vinh,VN,18.6667,105.6667,65.05,92,100,9.26
159,Beyneu,KZ,45.3167,55.2,26.46,27,0,8.08
160,Bethel,US,41.3712,-73.414,37.76,58,33,4.0
161,Burnie,AU,-41.0667,145.9167,55.94,77,56,11.48
162,Ponta Delgada,PT,37.7333,-25.6667,62.51,72,75,6.91
163,San Quintin,MX,30.4833,-115.95,53.24,79,100,5.77
164,Nome,US,64.5011,-165.4064,14.85,97,100,3.27
165,Honiara,SB,-9.4333,159.95,78.46,85,100,2.24
166,Itoman,JP,26.1247,127.6694,66.22,72,75,16.11
167,Ahipara,NZ,-35.1667,173.1667,58.26,74,100,11.1
